Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,16547.9140625,16630.439453125,16521.234375,16625.080078125,9244361700,0.07028699666261673,0.0706849992275238,0.06928899884223938,0.07022500038146973,185279750,1196.713623046875,1203.475341796875,1192.8853759765625,1200.96484375,2399674550,9.96103572845459,10.052801132202148,9.7210111618042,9.982172966003418,194221164,246.33290100097656,246.48580932617188,243.57528686523438,244.13697814941406,278651737
2023-01-02,16625.509765625,16759.34375,16572.228515625,16688.470703125,12097775227,0.07022500038146973,0.0724790021777153,0.06935799866914749,0.0714540034532547,405800240,1201.103271484375,1219.860595703125,1195.2149658203125,1214.6566162109375,3765758498,9.983222007751465,11.372013092041016,9.845211029052734,11.272967338562012,558570124,244.1522216796875,247.71527099609375,241.69248962402344,245.53590393066406,357733262
2023-01-03,16688.84765625,16760.447265625,16622.37109375,16679.857421875,13903079207,0.07145600020885468,0.07219699770212173,0.06977400183677673,0.0704680010676384,283398864,1214.7440185546875,1219.0953369140625,1207.4915771484375,1214.77880859375,3392972131,11.274726867675781,13.50026798248291,11.053266525268555,13.344045639038086,1149255381,245.55213928222656,246.83145141601562,244.78404235839844,246.13336181640625,377452410
2023-01-04,16680.205078125,16964.5859375,16667.763671875,16863.23828125,18421743322,0.0704680010676384,0.07325000315904617,0.07030999660491943,0.07323700189590454,343264145,1214.7186279296875,1264.8074951171875,1213.1688232421875,1256.526611328125,6404416893,13.351509094238281,14.09533977508545,12.922945976257324,13.435112953186035,1142852070,246.14089965820312,260.51605224609375,245.70497131347656,259.11968994140625,632924961
2023-01-05,16863.47265625,16884.021484375,16790.283203125,16836.736328125,13692758566,0.07323300093412399,0.0750269964337349,0.0714000016450882,0.07154999673366547,424927580,1256.484619140625,1258.571533203125,1245.173095703125,1250.4385986328125,4001786456,13.43493938446045,13.769200325012207,12.990192413330078,13.419329643249512,564255825,259.07647705078125,259.07647705078125,255.5965576171875,256.4228515625,342934041
2023-01-06,16836.47265625,16991.994140625,16716.421875,16951.96875,14413662913,0.0715550035238266,0.07257000356912613,0.0703440010547638,0.07247000187635422,306914647,1250.458984375,1273.2203369140625,1240.947509765625,1269.3790283203125,4977252792,13.420552253723145,13.54129409790039,12.771324157714844,13.52584171295166,517147909,256.4501953125,260.22174072265625,255.0677032470703,259.8671569824219,417893264
2023-01-07,16952.1171875,16975.017578125,16914.19140625,16955.078125,7714767174,0.07246900349855423,0.072843998670578,0.07187599688768387,0.07222200185060501,173703551,1269.4197998046875,1270.5982666015625,1262.2711181640625,1264.2703857421875,2565213548,13.52675724029541,13.52675724029541,13.055072784423828,13.092267990112305,210349250,259.8548889160156,262.9636535644531,259.5932922363281,261.2828369140625,327712514
2023-01-08,16954.146484375,17091.14453125,16924.05078125,17091.14453125,9768827914,0.07220999896526337,0.07361199706792831,0.07154600322246552,0.07360100001096725,246133445,1264.181884765625,1287.3594970703125,1260.226806640625,1287.3594970703125,3495088905,13.09150505065918,14.333256721496582,12.924285888671875,14.31993293762207,535020165,261.2529296875,274.38507080078125,260.51690673828125,274.38507080078125,491734030
2023-01-09,17093.9921875,17389.95703125,17093.9921875,17196.5546875,18624736866,0.07359199970960617,0.07921099662780762,0.07325799763202667,0.07578399777412415,853703837,1287.4508056640625,1342.1441650390625,1286.6807861328125,1321.5389404296875,7990438824,14.325532913208008,17.361557006835938,14.325532913208008,16.30246353149414,2029272608,274.44244384765625,283.0254211425781,271.8993835449219,272.7015380859375,783671054
2023-01-10,17192.94921875,17484.720703125,17162.990234375,17446.29296875,15808338949,0.07576899975538254,0.07773099839687347,0.07468999922275543,0.0777290016412735,492952309,1321.3955078125,1342.7572021484375,1318.5272216796875,1336.5860595703125,5830173253,16.29619789123535,16.640087127685547,15.711213111877441,16.19672393798828,833408341,272.6551818847656,278.2676696777344,271.14984130859375,277.2896423339844,470259383
2023-01-11,17446.359375,17934.896484375,17337.994140625,17934.896484375,18372283782,0.07773400098085403,0.07818099856376648,0.07517799735069275,0.07815299928188324,394318759,1336.48681640625,1387.9327392578125,1323.5831298828125,1387.9327392578125,6314904311,16.196577072143555,16.44658851623535,15.368487358093262,16.35941505432129,630606082,277.29351806640625,285.1723937988281,274.5263977050781,285.0465087890625,466458216
2023-01-12,18117.59375,19030.087890625,17995.203125,18869.587890625,34971338710,0.07921399921178818,0.08071699738502502,0.07698799669742584,0.08028600364923477,706796194,1405.3514404296875,1432.28125,1378.422119140625,1417.9384765625,12230193038,16.789260864257812,16.808433532714844,15.744722366333008,16.619043350219727,884719784,286.9006652832031,287.9513854980469,279.74102783203125,287.8123474121094,655903255
2023-01-13,18868.90625,19964.322265625,18753.1640625,19909.57421875,29225029694,0.0802839994430542,0.08491600304841995,0.07918400317430496,0.08443800359964371,575039277,1417.9461669921875,1461.6727294921875,1404.02392578125,1451.6148681640625,7684148212,16.61872673034668,18.51446533203125,16.381359100341797,18.28844451904297,1037251176,287.8114929199219,295.2747802734375,285.19122314453125,293.7330017089844,561853825
