Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,85.45999908447266,86.95999908447266,84.20999908447266,85.81999969482422,76706000,128.46817802573926,129.07955079083166,122.44314998227297,123.33063507080078,112117500,118.47000122070312,118.80000305175781,104.63999938964844,108.0999984741211,231402800,237.84825439790933,240.46078689316013,232.290495791577,234.423583984375,25740000,88.97631857972549,90.4263244711382,87.91364821898763,88.5095443725586,28131200
2023-01-04,86.55000305175781,86.9800033569336,83.36000061035156,85.13999938964844,68885100,125.1253349737568,126.87072372434358,123.34050912530462,124.60270690917969,89113600,109.11000061035156,114.58999633789062,107.5199966430664,113.63999938964844,180389000,227.28067869083657,227.85797664505387,221.09671066302377,224.16912841796875,50623400,89.73111687687052,90.02906496049344,86.67221251659535,87.47666931152344,34854800
2023-01-05,85.33000183105469,85.41999816894531,83.06999969482422,83.12000274658203,67930800,125.36199835089351,125.99309725880703,123.02496279365805,123.28134155273438,80962700,110.51000213623047,111.75,107.16000366210938,110.33999633789062,157986300,222.31003716133554,222.6525101847704,216.9871183182412,217.52528381347656,39585600,86.87084008200145,86.97015357614328,85.31159473485968,85.60953521728516,27194400
2023-01-06,83.02999877929688,86.4000015258789,81.43000030517578,86.08000183105469,83303400,124.25754914131075,128.478017370955,123.1531225564166,127.81733703613281,87754700,103.0,114.38999938964844,101.80999755859375,113.05999755859375,220911100,218.20044363304228,220.90103567706186,214.62900736635714,220.08889770507812,43613600,86.19550170469084,87.0893383476196,84.2787216281847,86.74172973632812,41381500
2023-01-09,87.45999908447266,89.4800033569336,87.08000183105469,87.36000061035156,65266100,128.65553802002677,131.55465346679887,128.08360234953716,128.33998107910156,70790800,118.95999908447266,123.5199966430664,117.11000061035156,119.7699966430664,190284000,221.5761420882489,226.26305588050707,221.53700957259352,222.23171997070312,27369800,87.75474345560666,89.4331695495465,87.25816840553064,87.41706848144531,29003900
2023-01-10,87.56999969482422,90.19000244140625,87.29000091552734,89.87000274658203,67756600,128.44846138243565,129.43455432577363,126.33822308555574,128.91192626953125,63896200,121.06999969482422,122.76000213623047,114.91999816894531,118.8499984741211,167642500,222.85799364012647,226.33159118408554,222.43725555040157,223.92454528808594,27033900,85.39106477239713,88.06263388453512,85.24209071433492,87.81434631347656,30467800
2023-01-11,90.93000030517578,95.26000213623047,90.93000030517578,95.08999633789062,103126200,129.42470644063985,131.65327120715185,128.64569958998982,131.63356018066406,69458900,122.08999633789062,125.94999694824219,120.51000213623047,123.22000122070312,183810800,226.31196835747457,230.87167535707803,226.13584964102154,230.695556640625,28669300,88.56913668176881,90.9725583891189,88.40030296334042,90.89310455322266,26862000
2023-01-12,96.93000030517578,97.19000244140625,93.5,95.2699966430664,85254800,132.0181218476768,132.3928269168101,129.61205277186403,131.55465698242188,71379600,122.55999755859375,124.12999725341797,117.0,123.55999755859375,169400900,230.19653607787433,234.7366695975556,228.53312785732817,233.3765869140625,27269500,90.85337642641241,91.24070436753142,89.13522338270101,90.50576782226562,30258100
2023-01-13,94.18000030517578,98.37000274658203,94.12000274658203,98.12000274658203,85549400,130.1938350469048,133.04364272167805,129.82898551497536,132.8858642578125,57809700,116.55000305175781,122.62999725341797,115.5999984741211,122.4000015258789,180714100,231.8991004502628,234.21808667704465,229.8638660470709,234.0811004638672,21333300,90.22768590186173,91.55851098824732,89.51261661092427,91.4889907836914,26329200
2023-01-17,98.68000030517578,98.88999938964844,95.7300033569336,96.05000305175781,72755000,132.9549052915621,135.38068535895238,132.26464328240974,134.04946899414062,63646600,125.69999694824219,131.6999969482422,125.0199966430664,131.49000549316406,186477000,232.8482214298885,235.72494679850365,231.98715671264935,235.177001953125,29831300,91.42939508883157,91.6180960310852,89.4331688584874,90.6646728515625,32602400
2023-01-18,97.25,99.31999969482422,95.37999725341797,95.45999908447266,79570400,134.91723044564642,136.68233001992917,133.15211582478094,133.32962036132812,69672800,136.55999755859375,136.67999267578125,127.01000213623047,128.77999877929688,195680300,236.37073340043898,237.16329750679515,230.4509436291054,230.7346954345703,30028700,91.50885177199906,92.1643344905254,90.0191265867673,90.49584197998047,29116700
2023-01-19,94.73999786376953,95.44000244140625,92.86000061035156,93.68000030517578,69002700,132.2153258346004,134.35514542774973,131.9096394708051,133.38877868652344,58280400,127.26000213623047,129.99000549316406,124.30999755859375,127.16999816894531,170291900,228.74840601373435,230.4509617716894,225.71512062356072,226.93821716308594,28623000,90.09857153682633,92.96877450470505,90.00918409441093,92.41261291503906,37000400
2023-01-20,93.86000061035156,97.3499984741211,93.19999694824219,97.25,67481500,133.39867443914102,136.10057497168293,132.35341815217265,135.95265197753906,80223600,128.67999267578125,133.50999450683594,127.3499984741211,133.4199981689453,138858100,229.80516606379726,235.5586170347546,229.46269305633442,235.0498046875,35389800,94.44856783294655,97.62665252554416,94.36911401077657,97.34856414794922,63191100
2023-01-23,97.55999755859375,97.77999877929688,95.86000061035156,97.5199966430664,76501100,136.19914460303502,141.32683964763805,135.9822029643826,139.14756774902344,81760300,135.8699951171875,145.3800048828125,134.27000427246094,143.75,203119200,235.91085150015493,239.89324581557503,234.49204766030977,237.35899353027344,31934000,97.27906024097814,99.35474812430549,96.8321456764025,99.10646057128906,40005100
