Date,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,SOL-USD
2023-01-01,0.07138436044414737,0.0,0.03011235781656571,0.0,0.0
2023-01-02,0.07395099316060139,0.0007081523287675306,0.03311431949954244,0.0047781772644422404,0.005224117563750144
2023-01-03,0.07504715921658689,0.0006119312365237273,0.030705911051348123,0.00482082016309604,0.013606209053638255
2023-01-04,0.0988733943742871,0.0026605241099619814,0.037469469725381926,0.019390037000063087,0.01397477771603553
2023-01-05,0.09392545953237957,0.0023644642458676146,0.03334879259097062,0.017265432320181795,0.01391089932579273
2023-01-06,0.10024478475657567,0.003651754091965581,0.035595996239112915,0.023875294613013298,0.014341976177312796
2023-01-07,0.10284215659522283,0.0036864896880771936,0.03499023162243456,0.022092472126837737,0.01258721170915364
2023-01-08,0.1268810460080953,0.005206521119427904,0.03835857115985347,0.030150148159577617,0.01755583115081845
2023-01-09,0.12379224015216367,0.006384084010221086,0.0436907593288407,0.042078146498506774,0.025579551362419344
2023-01-10,0.13221011237052865,0.009173972033088618,0.04844162384372244,0.04732931487558961,0.025151600885285792
2023-01-11,0.14644176603479858,0.01463228258664201,0.049477280059727013,0.0652483635734391,0.025810046208855554
2023-01-12,0.15151629678796047,0.025073951145911377,0.05468735440975386,0.0757198151112971,0.02686081678043859
2023-01-13,0.16237902104742413,0.036691895284308995,0.06482902536647991,0.08747225762070349,0.03361723604627997
2023-01-14,0.18349315857162524,0.048608539366656184,0.07187592085830696,0.12205356101431991,0.057742718400978534
2023-01-15,0.17767624162327428,0.04754168527904781,0.06896433432062946,0.12267215994673936,0.05217314032724101
2023-01-16,0.17204107183455702,0.05076832105779838,0.06287005400815779,0.13117126027103837,0.055023421117924874
2023-01-17,0.17355523956036562,0.05067768558904992,0.06127260142981272,0.12803481330461847,0.05221667798536419
2023-01-18,0.15000946389823072,0.04539660948726443,0.05445530175616797,0.10976942418113916,0.04398695671974285
2023-01-19,0.16443243920281753,0.04984289670259917,0.058043482565276805,0.12269904073500165,0.04631868393162792
2023-01-20,0.18300155658099554,0.06760249570021537,0.06962871721016495,0.1601090465397183,0.0629992885028049
2023-01-21,0.17252164357551075,0.06873159894341824,0.06562775165565246,0.1487196863731955,0.05927410148936115
2023-01-22,0.1794665575287851,0.06809250324888011,0.07427209972582455,0.14916076986236776,0.05767525818921639
2023-01-23,0.18397563401049272,0.0704833246556163,0.0750073304688938,0.14911505974223233,0.05818122907603985
2023-01-24,0.17500065019682415,0.06715470761039238,0.06363702342488842,0.12411162402817005,0.05185894356111868
2023-01-25,0.18728465292213575,0.07253244118125723,0.07009526115396,0.14334288971626236,0.059045868439703324
2023-01-26,0.18280592362481557,0.07158196879569617,0.06955544891878854,0.14033986688429173,0.05815245099279814
2023-01-27,0.18878079150888022,0.07209530068622222,0.0713873927873428,0.13861259518717167,0.058383794977956614
2023-01-28,0.18533375449850115,0.07156311731639942,0.07301172496488365,0.12963628632069485,0.05665945669410465
2023-01-29,0.205684229203773,0.07986867762785638,0.07898387325961417,0.15536341590321961,0.06536332930279345
2023-01-30,0.1868465784375472,0.06942995461222712,0.07435270212585071,0.1278535064348177,0.05651585961672744
2023-01-31,0.19655622167252013,0.07277177205672714,0.09347825580555663,0.13455704678373287,0.05654105587844977
2023-02-01,0.20593445349718115,0.07930121319087752,0.08860283883509165,0.1538408386396975,0.0607534400935121
