Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,SOL-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,SOL-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,SOL-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,SOL-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,SOL-USD
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,314.2489929199219,,,,,320.43499755859375,,,,,314.00299072265625,,,,,320.43499755859375,,,,,8036550,,,
2015-01-02,,315.0320129394531,,,,,315.8389892578125,,,,,313.56500244140625,,,,,314.0790100097656,,,,,7860650,,,
2015-01-03,,281.0820007324219,,,,,315.1499938964844,,,,,281.0820007324219,,,,,314.84600830078125,,,,,33054400,,,
2015-01-04,,264.19500732421875,,,,,287.2300109863281,,,,,257.61199951171875,,,,,281.14599609375,,,,,55629100,,,
2015-01-05,,274.4739990234375,,,,,278.34100341796875,,,,,265.0840148925781,,,,,265.0840148925781,,,,,43962800,,,
2015-01-06,,286.1889953613281,,,,,287.5530090332031,,,,,272.6960144042969,,,,,274.6109924316406,,,,,23245700,,,
2015-01-07,,294.3370056152344,,,,,298.7539978027344,,,,,283.0790100097656,,,,,286.0769958496094,,,,,24866800,,,
2015-01-08,,283.3489990234375,,,,,294.135009765625,,,,,282.17498779296875,,,,,294.135009765625,,,,,19982500,,,
2015-01-09,,290.4079895019531,,,,,291.114013671875,,,,,280.5329895019531,,,,,282.38299560546875,,,,,18718600,,,
2015-01-10,,274.7959899902344,,,,,288.12701416015625,,,,,273.96600341796875,,,,,287.3030090332031,,,,,15264300,,,
2015-01-11,,265.6600036621094,,,,,279.63800048828125,,,,,265.03900146484375,,,,,274.6080017089844,,,,,18200800,,,
2015-01-12,,267.7959899902344,,,,,272.2030029296875,,,,,265.20001220703125,,,,,266.14599609375,,,,,18880300,,,
2015-01-13,,225.86099243164062,,,,,268.2770080566406,,,,,219.906005859375,,,,,267.3940124511719,,,,,72843904,,,
2015-01-14,,178.10299682617188,,,,,223.8939971923828,,,,,171.50999450683594,,,,,223.8939971923828,,,,,97638704,,,
2015-01-15,,209.843994140625,,,,,229.06700134277344,,,,,176.89700317382812,,,,,176.89700317382812,,,,,81773504,,,
2015-01-16,,208.0970001220703,,,,,221.59100341796875,,,,,199.77099609375,,,,,209.07000732421875,,,,,38421000,,,
2015-01-17,,199.25999450683594,,,,,211.7310028076172,,,,,194.875,,,,,207.83399963378906,,,,,23469700,,,
2015-01-18,,210.33900451660156,,,,,218.69500732421875,,,,,194.50599670410156,,,,,200.0500030517578,,,,,30085100,,,
2015-01-19,,214.86099243164062,,,,,216.72799682617188,,,,,207.3179931640625,,,,,211.4709930419922,,,,,18658300,,,
2015-01-20,,211.31500244140625,,,,,215.24099731445312,,,,,205.1529998779297,,,,,212.90699768066406,,,,,24051100,,,
2015-01-21,,226.89700317382812,,,,,227.78799438476562,,,,,211.21200561523438,,,,,211.3780059814453,,,,,29924600,,,
2015-01-22,,233.406005859375,,,,,237.0189971923828,,,,,226.4340057373047,,,,,227.32200622558594,,,,,33544600,,,
2015-01-23,,232.87899780273438,,,,,234.84500122070312,,,,,225.1959991455078,,,,,233.51699829101562,,,,,24621700,,,
2015-01-24,,247.8470001220703,,,,,248.2100067138672,,,,,230.02200317382812,,,,,232.6999969482422,,,,,24782500,,,
2015-01-25,,253.71800231933594,,,,,255.07400512695312,,,,,243.88999938964844,,,,,247.3520050048828,,,,,33582700,,,
2015-01-26,,273.4729919433594,,,,,309.3840026855469,,,,,254.07899475097656,,,,,254.07899475097656,,,,,106794000,,,
2015-01-27,,263.4750061035156,,,,,275.4800109863281,,,,,250.6529998779297,,,,,273.1669921875,,,,,44399000,,,
2015-01-28,,233.9149932861328,,,,,266.5350036621094,,,,,227.04600524902344,,,,,263.35101318359375,,,,,44352200,,,
2015-01-29,,233.51300048828125,,,,,238.70599365234375,,,,,220.71200561523438,,,,,233.34800720214844,,,,,32213400,,,
2015-01-30,,226.4250030517578,,,,,242.8509979248047,,,,,225.83900451660156,,,,,232.77200317382812,,,,,26605200,,,
2015-01-31,,217.46400451660156,,,,,233.50399780273438,,,,,216.3090057373047,,,,,226.4409942626953,,,,,23348200,,,
2015-02-01,,226.9720001220703,,,,,231.57400512695312,,,,,212.01499938964844,,,,,216.86700439453125,,,,,29128500,,,
2015-02-02,,238.22900390625,,,,,242.1750030517578,,,,,222.65899658203125,,,,,226.49099731445312,,,,,30612100,,,
2015-02-03,,227.26800537109375,,,,,245.95700073242188,,,,,224.48300170898438,,,,,237.45399475097656,,,,,40783700,,,
2015-02-04,,226.85299682617188,,,,,230.05799865722656,,,,,221.11300659179688,,,,,227.51100158691406,,,,,26594300,,,
2015-02-05,,217.11099243164062,,,,,239.40499877929688,,,,,214.72500610351562,,,,,227.6649932861328,,,,,22516400,,,
2015-02-06,,222.26600646972656,,,,,230.50999450683594,,,,,216.23199462890625,,,,,216.92300415039062,,,,,24435300,,,
2015-02-07,,227.75399780273438,,,,,230.2989959716797,,,,,222.60699462890625,,,,,222.63299560546875,,,,,21604200,,,
2015-02-08,,223.41200256347656,,,,,229.43800354003906,,,,,221.07699584960938,,,,,227.6929931640625,,,,,17145200,,,
2015-02-09,,220.11000061035156,,,,,223.9770050048828,,,,,217.0189971923828,,,,,223.38900756835938,,,,,27791300,,,
2015-02-10,,219.83900451660156,,,,,221.8070068359375,,,,,215.33200073242188,,,,,220.28199768066406,,,,,21115100,,,
2015-02-11,,219.18499755859375,,,,,223.406005859375,,,,,218.07400512695312,,,,,219.73199462890625,,,,,17201900,,,
2015-02-12,,221.76400756835938,,,,,222.19900512695312,,,,,217.61399841308594,,,,,219.20799255371094,,,,,15206200,,,
2015-02-13,,235.427001953125,,,,,240.25900268554688,,,,,221.26199340820312,,,,,221.968994140625,,,,,42744400,,,
2015-02-14,,257.3210144042969,,,,,259.8080139160156,,,,,235.5279998779297,,,,,235.5279998779297,,,,,49732500,,,
2015-02-15,,234.8249969482422,,,,,265.6109924316406,,,,,227.6840057373047,,,,,257.5069885253906,,,,,56552400,,,
2015-02-16,,233.84300231933594,,,,,239.52099609375,,,,,229.02200317382812,,,,,234.8249969482422,,,,,28153700,,,
