Date,BNB-USD_Close,BTC-USD_Close,DOGE-USD_Close,ETH-USD_Close,SOL-USD_Close,BNB-USD_Volume,BTC-USD_Volume,DOGE-USD_Volume,ETH-USD_Volume,SOL-USD_Volume
2015-01-01,0.0,5.7533627802956655,0.0,0.0,0.0,0.0,15.89951056901736,0.0,0.0,0.0
2015-01-02,0.0,5.755843515226149,0.0,0.0,0.0,0.0,15.877379985403117,0.0,0.0,0.0
2015-01-03,0.0,5.642197811408091,0.0,0.0,0.0,0.0,17.31366527727266,0.0,0.0,0.0
2015-01-04,0.0,5.580465432056888,0.0,0.0,0.0,0.0,17.834217021575757,0.0,0.0,0.0
2015-01-05,0.0,5.618493246728751,0.0,0.0,0.0,0.0,17.59885440248532,0.0,0.0,0.0
2015-01-06,0.0,5.660140519452936,0.0,0.0,0.0,0.0,16.961630769675125,0.0,0.0,0.0
2015-01-07,0.0,5.688117096222761,0.0,0.0,0.0,0.0,17.02904417863606,0.0,0.0,0.0
2015-01-08,0.0,5.65020235351956,0.0,0.0,0.0,0.0,16.810367498526098,0.0,0.0,0.0
2015-01-09,0.0,5.674724311030935,0.0,0.0,0.0,0.0,16.745028293315094,0.0,0.0,0.0
2015-01-10,0.0,5.619661425696701,0.0,0.0,0.0,0.0,16.541027392077453,0.0,0.0,0.0
2015-01-11,0.0,5.585974452420566,0.0,0.0,0.0,0.0,16.716976162067578,0.0,0.0,0.0
2015-01-12,0.0,5.593952690346625,0.0,0.0,0.0,0.0,16.753629661351155,0.0,0.0,0.0
2015-01-13,0.0,5.4243374617649,0.0,0.0,0.0,0.0,18.103829422040167,0.0,0.0,0.0
2015-01-14,0.0,5.187961041624453,0.0,0.0,0.0,0.0,18.396784540394115,0.0,0.0,0.0
2015-01-15,0.0,5.351118495749068,0.0,0.0,0.0,0.0,18.219463849350618,0.0,0.0,0.0
2015-01-16,0.0,5.342798259713168,0.0,0.0,0.0,0.0,17.46411476910375,0.0,0.0,0.0
2015-01-17,0.0,5.299616494849495,0.0,0.0,0.0,0.0,16.971220828078394,0.0,0.0,0.0
2015-01-18,0.0,5.353463500661115,0.0,0.0,0.0,0.0,17.219540623785683,0.0,0.0,0.0
2015-01-19,0.0,5.3746346469574675,0.0,0.0,0.0,0.0,16.741801698863,0.0,0.0,0.0
2015-01-20,0.0,5.358071032446131,0.0,0.0,0.0,0.0,16.99569133309397,0.0,0.0,0.0
2015-01-21,0.0,5.428893786423311,0.0,0.0,0.0,0.0,17.214191475986087,0.0,0.0,0.0
2015-01-22,0.0,5.457054679641571,0.0,0.0,0.0,0.0,17.328386484438273,0.0,0.0,0.0
2015-01-23,0.0,5.4548038782065085,0.0,0.0,0.0,0.0,17.019138766504557,0.0,0.0,0.0
2015-01-24,0.0,5.516838250267345,0.0,0.0,0.0,0.0,17.025648357240243,0.0,0.0,0.0
2015-01-25,0.0,5.540157059971904,0.0,0.0,0.0,0.0,17.329521641161573,0.0,0.0,0.0
2015-01-26,0.0,5.614852866102995,0.0,0.0,0.0,0.0,18.486412312500768,0.0,0.0,0.0
2015-01-27,0.0,5.577746751950693,0.0,0.0,0.0,0.0,17.608727527149323,0.0,0.0,0.0
2015-01-28,0.0,5.4592237180065215,0.0,0.0,0.0,0.0,17.60767289344785,0.0,0.0,0.0
2015-01-29,0.0,5.457511025532075,0.0,0.0,0.0,0.0,17.287893104059933,0.0,0.0,0.0
2015-01-30,0.0,5.4268205271268695,0.0,0.0,0.0,0.0,17.096617280954938,0.0,0.0,0.0
2015-01-31,0.0,5.386621261910221,0.0,0.0,0.0,0.0,16.966030494143183,0.0,0.0,0.0
2015-02-01,0.0,5.429222814930959,0.0,0.0,0.0,0.0,17.18722766863456,0.0,0.0,0.0
2015-02-02,0.0,5.477421268514501,0.0,0.0,0.0,0.0,17.236905946266234,0.0,0.0,0.0
2015-02-03,0.0,5.430520400793629,0.0,0.0,0.0,0.0,17.523793074264766,0.0,0.0,0.0
2015-02-04,0.0,5.428700670250879,0.0,0.0,0.0,0.0,17.09620750267722,0.0,0.0,0.0
2015-02-05,0.0,5.3850040728161845,0.0,0.0,0.0,0.0,16.929754534965113,0.0,0.0,0.0
2015-02-06,0.0,5.408363914699238,0.0,0.0,0.0,0.0,17.011539407006264,0.0,0.0,0.0
2015-02-07,0.0,5.432647180736179,0.0,0.0,0.0,0.0,16.888398344484262,0.0,0.0,0.0
2015-02-08,0.0,5.413483659577665,0.0,0.0,0.0,0.0,16.657228867344998,0.0,0.0,0.0
2015-02-09,0.0,5.398660318004462,0.0,0.0,0.0,0.0,17.140233616024105,0.0,0.0,0.0
2015-02-10,0.0,5.397433949692415,0.0,0.0,0.0,0.0,16.86549902966813,0.0,0.0,0.0
2015-02-11,0.0,5.394468090989329,0.0,0.0,0.0,0.0,16.66053045893225,0.0,0.0,0.0
2015-02-12,0.0,5.406112949080198,0.0,0.0,0.0,0.0,16.53721386314955,0.0,0.0,0.0
2015-02-13,0.0,5.465639500469089,0.0,0.0,0.0,0.0,17.57074877400939,0.0,0.0,0.0
2015-02-14,0.0,5.5542030533713005,0.0,0.0,0.0,0.0,17.722169221000843,0.0,0.0,0.0
